Woche,2018,2019,2020
1,128.0,102.0,87.0
2,110.0,116.0,161.0
3,106.0,89.0,97.0
4,89.0,86.0,112.0
5,123.0,150.0,108.0
6,118.0,154.0,167.0
7,74.0,106.0,131.0
8,127.0,95.0,100.0
9,165.0,130.0,111.0
10,151.0,114.0,146.0
11,111.0,134.0,104.0
12,143.0,137.0,115.0
13,102.0,143.0,80.0
14,149.0,198.0,125.0
15,115.0,132.0,78.0
16,131.0,87.0,60.0
17,120.0,90.0,77.0
18,139.0,145.0,71.0
19,90.0,121.0,164.0
20,130.0,98.0,127.0
21,78.0,115.0,87.0
22,133.0,80.0,90.0
23,116.0,173.0,116.0
24,107.0,96.0,86.0
25,117.0,86.0,85.0
26,103.0,120.0,77.0
27,177.0,171.0,148.0
28,112.0,117.0,77.0
29,113.0,125.0,98.0
30,113.0,83.0,63.0
31,156.0,174.0,90.0
32,108.0,119.0,95.0
33,88.0,98.0,50.0
34,95.0,94.0,60.0
35,109.0,96.0,18.0
36,160.0,166.0,
37,109.0,102.0,
38,95.0,108.0,
39,104.0,84.0,
40,132.0,127.0,
41,106.0,120.0,
42,121.0,128.0,
43,105.0,106.0,
44,95.0,104.0,
45,129.0,142.0,
46,96.0,89.0,
47,104.0,92.0,
48,109.0,119.0,
49,155.0,173.0,
50,110.0,97.0,
51,114.0,100.0,
52,43.0,29.0,
